ST,Frequency,Percentage
1588,184,27.54
13942,70,10.48
1582,48,7.19
1599,48,7.19
14601,32,4.79
7363,24,3.59
1587,24,3.59
1893,23,3.44
8133,20,2.99
14598,18,2.69
1583,15,2.25
7360,14,2.1
1597,12,1.8
1932,8,1.2
1931,7,1.05
8136,7,1.05
11249,7,1.05
14593,5,0.75
14589,5,0.75
11368,5,0.75
1600,4,0.6
16735,4,0.6
13781,3,0.45
8123,3,0.45
13527,3,0.45
1901,3,0.45
9363,3,0.45
11173,3,0.45
12042,2,0.3
7829,2,0.3
7367,2,0.3
7827,2,0.3
17845,2,0.3
14600,2,0.3
1889,2,0.3
14594,2,0.3
11648,2,0.3
16145,2,0.3
1921,2,0.3
1596,2,0.3
1591,2,0.3
15610,2,0.3
16063,2,0.3
11366,1,0.15
14422,1,0.15
17844,1,0.15
14587,1,0.15
8112,1,0.15
14602,1,0.15
13266,1,0.15
14599,1,0.15
14591,1,0.15
17840,1,0.15
16849,1,0.15
7371,1,0.15
17842,1,0.15
17843,1,0.15
10634,1,0.15
1927,1,0.15
18258,1,0.15
8120,1,0.15
17841,1,0.15
12246,1,0.15
15657,1,0.15
16156,1,0.15
15655,1,0.15
14586,1,0.15
11251,1,0.15
14592,1,0.15
11179,1,0.15
10624,1,0.15
12982,1,0.15
11231,1,0.15
8774,1,0.15
6720,1,0.15
8157,1,0.15
17224,1,0.15
14604,1,0.15
1590,1,0.15